_id,X,Y,neighborhood_id,neighborhood_name,device_serial,device_connectedto,device_address,device_lat,device_long,device_tags,etl_updatedtimestamp,is_current,org1,org2,inside_outside,landmark,ObjectId
45,-71.0632356684482,42.3183362717841,N_568579452955534204,Dorchester,Q2CK-G9M2-VTK4,DOT-BFD21-AP2,"641 Columbia Rd., Dorchester, MA",42.3183362717841,-71.0632356684482,"['BFD', 'Engine-21', 'Outside']",2024/04/02 07:55:59+00,1,BFD,,,Engine 21 Outside,45
46,-71.0675805917259,42.3147786635241,N_568579452955534204,Dorchester,Q2CK-U4G7-7P78,DOT-BPL-AP4,"500 Columbia Rd., Dorchester, MA",42.3147786635241,-71.0675805917259,"['BPL', 'Outside', 'Uphams-Corner-Branch', 'recently-added']",2024/04/02 07:55:59+00,1,BPL,,,Outside Uphams Corner Branch,46
47,-71.0675805917259,42.3147786635241,N_568579452955534204,Dorchester,Q2CK-CXHG-U3Q7,DOT-BPL-AP3,"500 Columbia Rd., Dorchester, MA",42.3147786635241,-71.0675805917259,"['BPL', 'Outside', 'Uphams-Corner-Branch']",2024/04/02 07:55:59+00,1,BPL,,,Outside Uphams Corner Branch,47
48,-71.0625870522593,42.3079400655335,N_568579452955534204,Dorchester,Q2CK-F72Z-RK25,DOT-MATHER-AP1,"1 Parish St., Dorchester, MA",42.3079400655335,-71.0625870522593,"['BPS', 'Mather-School', 'Outside']",2024/04/02 07:55:59+00,1,BPS,,,Mather School Outside,48
49,-71.0806547945235,42.2965606820921,N_568579452955534204,Dorchester,Q2CK-HPSU-2K3Q,DOT-GREENWOOD-AP2,"189 Glenway Street, Dorchester, MA",42.2965606820921,-71.0806547945235,"['BPS', 'Greenwood-School', 'Outside']",2024/04/02 07:55:59+00,1,BPS,,,Greenwood School Outside,49
50,-71.0711796721667,42.2997765683813,N_568579452955534204,Dorchester,Q2CK-649C-9H26,DOT-MARSHALL-AP1,"35 Westville St., Dorchester, MA",42.2997765683813,-71.0711796721667,"['BPS', 'Marshall-School', 'Outside', 'UP-Academy']",2024/04/02 07:55:59+00,1,BPS,,,Marshall School Outside UP Academy,50
51,-71.0738590190213,42.3056181301162,N_568579452955534204,Dorchester,Q2CK-GMBW-WDLD,DOT-HOLLAND-AP1,"85 Olney St., Dorchester, MA",42.3056181301162,-71.0738590190213,"['BCYF', 'Holland-Comm-Center', 'Outside']",2024/04/02 07:55:59+00,1,BCYF,,,Holland Comm Center Outside,51
52,-71.0675805917259,42.3147786635241,N_568579452955534204,Dorchester,Q2CK-J2D4-6Y8J,DOT-BPL-AP6,"500 Columbia road, Dorchester, ma",42.3147786635241,-71.0675805917259,"['BPL', 'Outside', 'Uphams-Corner-Branch']",2024/04/02 07:55:59+00,1,BPL,,,Outside Uphams Corner Branch,52
53,-71.0492044416863,42.2942127699993,N_568579452955534204,Dorchester,Q2CK-S8TK-5BFB,DOT-MURPHY-AP1,"1 Worrell St, Dorchester, MA 02122",42.2942127699993,-71.0492044416863,"['BPS', 'Murphy-School', 'Outside']",2024/04/02 07:55:59+00,1,BPS,,,Murphy School Outside,53
54,-71.0632356684482,42.3183362717841,N_568579452955534204,Dorchester,Q2CK-ZRF5-JNQU,DOT-BFD21-AP1,"641 Columbia Rd., Dorchester, MA",42.3183362717841,-71.0632356684482,"['BFD', 'Engine-21', 'Outside']",2024/04/02 07:55:59+00,1,BFD,,,Engine 21 Outside,54
55,-71.0675805917259,42.3147786635241,N_568579452955534204,Dorchester,Q2CK-CRWS-U8UK,DOT-BPL-AP1,"500 Columbia Rd., Dorchester, MA",42.3147786635241,-71.0675805917259,"['BPL', 'Outside', 'Uphams-Corner-Branch']",2024/04/02 07:55:59+00,1,BPL,,,Outside Uphams Corner Branch,55
56,-71.0829605987571,42.3310986653424,N_601230550253966449,OPAT,Q3AC-ZNTZ-AXMN,OPAT-AP2,2201 Washington St Roxbury MA 02118,42.3310986653424,-71.0829605987571,[],2024/04/02 07:56:10+00,1,,,,,56
57,-71.0059505781137,42.3860786782013,N_601230550253966604,East Boston Senior Center,Q3AB-4Q4V-8E7P,EBSC-AP-5,"18 Barnes Avenue, East Boston, MA 02128",42.3860786782013,-71.0059505781137,"['Inside', 'employee']",2024/04/02 07:56:11+00,1,,,Inside,employee,57
58,-71.0711755975533,42.303859430364,N_568579452955534204,Dorchester,Q2CK-N5NK-M8VH,DOT-MATHER-AP2,"1 Meeting House Hill, Dorchester",42.303859430364,-71.0711755975533,['recently-added'],2024/04/02 07:55:59+00,1,,,,,58
59,-71.0688205939785,42.3129686634185,N_568579452955534204,Dorchester,Q2CK-FQLH-FDJH,DOT-BPL-AP5,"63 Glendale St, Dorchester, MA",42.3129686634185,-71.0688205939785,"['BPL', 'Outside', 'Uphams-Corner-Branch']",2024/04/02 07:55:59+00,1,BPL,,,Outside Uphams Corner Branch,59
60,-71.0756002595557,42.2967885000962,N_568579452955534204,Dorchester,Q2CK-H64X-BT93,DOT-HOLMES-AP1,"40 School St., Dorchester, MA",42.2967885000962,-71.0756002595557,"['BPS', 'Holmes-Elementary-School', 'Outside']",2024/04/02 07:55:59+00,1,BPS,,,Holmes Elementary School Outside,60
61,-71.0806547945235,42.2965606820921,N_568579452955534204,Dorchester,Q2CK-HALC-MWBH,DOT-GREENWOOD-AP1,"189 Glenway St., Dorchester, MA",42.2965606820921,-71.0806547945235,"['BPS', 'Greenwood-School', 'Outside']",2024/04/02 07:55:59+00,1,BPS,,,Greenwood School Outside,61
62,-71.0301987441018,42.3321207672545,N_568579452955537848,South Boston,Q2CK-LL7D-DRFS,SB-PERRY-AP2,"745 East 7th St., South Boston, MA",42.3321207672545,-71.0301987441018,"['BPS', 'Outside', 'Perry-School']",2024/04/02 07:56:00+00,1,BPS,,,Outside Perry School,62
63,-71.0301987441018,42.3321207672545,N_568579452955537848,South Boston,Q2CK-L6R4-HJGB,SB-PERRY-AP1,"745 E 7th St, South Boston, MA 02127",42.3321207672545,-71.0301987441018,['recently-added'],2024/04/02 07:56:00+00,1,,,,,63
64,-71.0448905869042,42.3328686671197,N_568579452955537848,South Boston,Q2CK-LEG8-FAFN,SB-HIGHSCHOOL-AP2,"95 G St., South Boston, MA",42.3328686671197,-71.0448905869042,['recently-added'],2024/04/02 07:56:00+00,1,,,,,64
65,-71.0448905869042,42.3328686671197,N_568579452955537848,South Boston,Q2CK-LQCX-HR7J,SB-HIGHSCHOOL-AP1,95 G Street,42.3328686671197,-71.0448905869042,['recently-added'],2024/04/02 07:56:00+00,1,,,,,65
66,-71.0301987441018,42.3321207672545,N_568579452955537848,South Boston,Q2CK-NLQZ-E2SP,SB-PERRY-AP3,"745 E 7th St, South Boston, MA 02127",42.3321207672545,-71.0301987441018,"['BPS', 'Outside', 'Perry-School']",2024/04/02 07:56:00+00,1,BPS,,,Outside Perry School,66
67,-71.0448905869042,42.3328686671197,N_568579452955537848,South Boston,Q2CK-D4R6-5UWB,SB-HIGHSCHOOL-AP3,"95 G St., South Boston, MA",42.3328686671197,-71.0448905869042,"['Outside', 'South-Boston-High-School']",2024/04/02 07:56:00+00,1,,,,Outside South Boston High School,67
68,-71.0610705944453,42.3801186758107,N_568579452955538062,Charlestown,Q2CK-SNTB-WJWA,CHL-HIGHSCHOOL-AP2,"240 Medford St, Charlestown, MA 02129",42.3801186758107,-71.0610705944453,"['BCYF-Grant', 'BPS', 'Charlestown-High-School', 'Outside']",2024/04/02 07:56:01+00,1,BPS,,,Charlestown High School Outside,68
69,-71.0610705944453,42.3801186758107,N_568579452955538062,Charlestown,Q2CK-V3LS-5V65,CHL-BCYF-AP2,"240 Medford St, Charlestown, MA 02129",42.3801186758107,-71.0610705944453,"['BCYF', 'BCYF-Grant', 'Charlestown-Athletic-Building', 'Outside']",2024/04/02 07:56:01+00,1,BCYF,,,Charlestown Athletic Building Outside,69
70,-71.0610705944453,42.3801186758107,N_568579452955538062,Charlestown,Q2CK-CWUY-RBGW,CHL-HIGHSCHOOL-AP1,"240 Medford St., Charlestown, MA",42.3801186758107,-71.0610705944453,"['BPS', 'Charlestown-High-School', 'Outside']",2024/04/02 07:56:01+00,1,BPS,,,Charlestown High School Outside,70
71,-71.1243063957897,42.2557560845543,N_568579452955538316,Hyde Park,Q2CK-BUXF-V896,HP-BPDE18-AP3,"1276 River St., Hyde Park, MA - Hyde Park Ave & River St",42.2557560845543,-71.1243063957897,"['BPD', 'District', 'E-18', 'Outside']",2024/04/02 07:56:01+00,1,BPD,,,District E 18 Outside,71
72,-71.1210815530909,42.2563069435643,N_568579452955538316,Hyde Park,Q3AK-D639-ZQ76,HP-BCYF-AP2,"1179 River Street, Hyde Park, MA02136",42.2563069435643,-71.1210815530909,[],2024/04/02 07:56:01+00,1,,,,,72
73,-71.0901645617862,42.3224337457746,N_601230550253962329,BCYF Indoor,Q3AK-E7TV-XMVL,BCYF-Shelburne-MR76-AP2,"2730 Washington St Boston, MA 02119",42.3224337457746,-71.0901645617862,[],2024/04/02 07:56:08+00,1,,,,,73
74,-71.07677,42.32673,N_601230550253962329,BCYF Indoor,Q2LD-DSEF-JAHC,BCYF-Vine Street- Classroom B,"339 Dudley Street. Boston, MA",42.32673,-71.07677,[],2024/04/02 07:56:08+00,1,,,,,74
75,-71.1144214275456,42.3105749822276,N_601230550253962845,Jamaica Plain,Q2CK-NLUC-P9T6,JP-BFDE28-AP2,"746 Centre Street, Jamaica Plain",42.3105749822276,-71.1144214275456,['recently-added'],2024/04/02 07:56:09+00,1,,,,,75
76,-71.1198806041961,42.2551286509519,N_568579452955538316,Hyde Park,Q2AK-YCNF-9V29,HP-BFD48-AP1,"60 Fairmont Ave., Hyde Park, MA",42.2551286509519,-71.1198806041961,"['BFD', 'Engine-48', 'Outside']",2024/04/02 07:56:01+00,1,BFD,,,Engine 48 Outside,76
77,-71.1277009143321,42.2865140418411,N_601230550253962329,BCYF Indoor,Q2JD-XLEC-WCDN,BCYF-Roslindale-AP3,"6 Cummins Highway, Roslindale, MA - room 205 teen room",42.2865140418411,-71.1277009143321,"['BCYF', 'BCYF-Grant', 'Inside', 'Roslindale']",2024/04/02 07:56:08+00,1,BCYF,,Inside,Roslindale,77
78,-71.1144214275456,42.3105749822276,N_601230550253962845,Jamaica Plain,Q2CK-NLSB-E9TE,JP-BFDE28-AP3,"746 Centre Street, Jamaica Plain",42.3105749822276,-71.1144214275456,['recently-added'],2024/04/02 07:56:09+00,1,,,,,78
